	species	stage	log10_total_counts	log10_detected	EN_Chronoage_Multispecies_Multitissue_scaleddiff	EN_Chronoage_Multispecies_Multitissue_yugenediff	EN_Mortality_Multispecies_Multitissue_scaleddiff	EN_Chronoage_Mouse_Multitissue_scaleddiff
2-cell_2	Pig	2-cell	6.130657277786727	4.0267374942387475	0.13136695672544293	0.02579413366047015	-0.08615829640524714	
2-cell_3	Pig	2-cell	6.110213832460572	4.020485585796552	0.11197430544985298	-0.04730133328004097	-0.20259002683094351	
2-cell_4	Pig	2-cell	6.002316418293	4.0080889362915775	0.30326761707707994	0.0032907599101890637	0.5604386368128109	
2-cell_5	Pig	2-cell	6.273731430777223	4.0341068297076434	0.09496705523968504	-0.02556445585220874	-0.0283986109636776	
2-cell_6	Pig	2-cell	5.970203172591608	4.008003671840159	0.1336001163196042	-0.03825008899112577	0.32740767540026006	
2-cell_7	Pig	2-cell	6.246510151979887	4.031287248876998	0.15184221437765086	-0.04573110786842737	-0.1397661288089923	
2-cell_8	Pig	2-cell	6.232310857826899	4.0252239151783105	0.1265147236678962	0.015519737057653481	0.3002992042103121	
4-cell_1	Pig	4-cell	6.059284653005769	4.033021444682911	0.1148764321172134	-0.028605888364941878	-0.19578529531666328	
4-cell_10	Pig	4-cell	6.0747301580867505	4.037784941753637	0.16222958226005205	-0.01711660872199361	0.2387350114376206	
4-cell_11	Pig	4-cell	6.088619747420544	4.023293623036605	0.1833980024606292	0.015018719932427683	0.2551791991271467	
4-cell_12	Pig	4-cell	6.076555979195909	3.991447598003803	0.13279481319210804	0.07258676160502033	-0.06993877081867955	
4-cell_2	Pig	4-cell	6.207001985845958	4.047742018180641	0.08574936315035317	-0.010783795627985912	0.16294524206330774	
4-cell_3	Pig	4-cell	6.219084721490369	4.043912167101254	0.23511734757950228	-0.0049815598728867524	0.18264378106495008	
4-cell_4	Pig	4-cell	6.104542760263069	4.0244035626829655	0.05935607278412937	-0.05900092839663445	-0.3269933022951023	
4-cell_5	Pig	4-cell	6.020128740244737	4.03981055414835	0.14797959520176338	0.007630288555711368	0.21998370187949634	
4-cell_6	Pig	4-cell	6.27448991136089	4.0600175425316	0.21986012733413549	0.013813901802211231	0.42550936484173524	
4-cell_7	Pig	4-cell	6.1873145230198805	4.044461360810665	0.24035694166237465	0.06835366529804937	0.3778396456477577	
4-cell_8	Pig	4-cell	5.7957778592676705	3.9977357765978985	0.2203079180387647	0.10549263702496392	0.2837355577806545	
4-cell_9	Pig	4-cell	6.312520719666673	4.0433229735745755	0.005039138346934945	-0.002506241257326597	-0.20425112412453694	
Day2_1	Pig	Day2	6.0810854277947675	4.033504172945174	0.1132557012493017	0.09000909411541665	0.15897285219012602	
Day2_10	Pig	Day2	6.108333270537638	4.046495164334709	0.15419807846849443	-0.017229807390745915	0.2817628817068046	
Day2_11	Pig	Day2	6.226288441776772	4.067405658437824	-0.012387146317964552	-0.06699113427855827	-0.25973827379826486	
Day2_12	Pig	Day2	6.093204483616371	4.057323705369284	0.12923736146605447	-0.03833410239696101	0.2803939801916722	
Day2_2	Pig	Day2	6.107820267248048	4.0521935804334746	0.10411338289193117	-0.00248782981773335	0.38050621917033867	
Day2_3	Pig	Day2	5.929733547489641	4.025141949625193	0.18509930932579913	0.04483420935282571	0.37992025472825364	
Day2_4	Pig	Day2	5.811418148984597	4.020112569565467	0.011100301189423331	-0.040168500916554904	0.24525157621771193	
Day2_5	Pig	Day2	6.05536495061705	4.0340666785975605	0.15989307762106686	0.0807281175354436	0.310867880363374	
Day2_7	Pig	Day2	6.133759193076625	4.050225037883654	0.12011121228636926	0.025176672437655978	-0.19683125419162395	
